"Id","info1","info2"
31,"北京-海淀区  |  2年经验  |  硕士  |  招2人  |  11-01发布","
						职位描述：作为团队核心成员，负责软件产品设计开发及文档编写等。职位要求：1、硕士以上学历（或本科2年以上相关工作经验），计算机相关专业；2、精通Python或C++，软件开发项目经验丰富；3、熟悉常用的开发平台和工具，了解常用的Python库及开源项目；4、熟悉软件项目开发流程，有良好的编程习惯和代码规范；5、有大型软件项目开发经验者或软件项目管理经验者优先；6、了解VISA/IVI或嵌入式测试者优先。						
																		
						
						
					"
32,"北京  |  3-4年经验  |  招若干人  |  11-01发布","1. 负责颉一数据产品设计和实现，保证效率和质量2. 负责模块开发和单元测试3. 编写软件工具挖掘大型结构化和非结构化数据5. 使用微服务架构实现可扩展的数据接入和敏捷虚.任职要求：1. 计算机或相关专业学历，精通 Python 或 Java 语言2. 熟悉Linux系统编程，理解云计算架构3. 了解数据库原理和数据备份技术4. 具备良好的沟通能力和团队合作精神6. 工作积极主动，学习能力强"
33,"北京-东城区  |  3-4年经验  |  大专  |  招2人  |  11-01发布"," 1.熟练使用python语言 2.了解python web  3.有python爬虫项目经验 4.了解python 接口开发 5.做过苹果广告asm者优先 任职要求：1、计算机相关专业，大专以上学历； 2、三年以上工作经验。"
34,"北京-海淀区  |  3-4年经验  |  本科  |  招若干人  |  11-01发布","服务器端研发要求：1、3年以上Python开发经验；2、熟悉LINUX系统开发，扎实的数据结构与算法知识；3、有过Docker/ElasticSearch  深度使用经验或定制开发经验者优先；4、有Linux开发经验；5、有TCP/IP知识基础。加分项：1、有过tensorflow,caffe等服务开发经验者优先；                                2、C++开发经验"
35,"北京-朝阳区  |  3-4年经验  |  本科  |  招5人  |  11-01发布","1.    （1）. SaaSLinux  （2）.  2.    （1）.   （2）.   （3）. Python/C/C++/Linux//Git  （4）.  3.  （1）. /// （2）. 3~5 （3）. 2SaaS"
36,"北京-东城区  |  无工作经验  |  本科  |  招1人  |  11-01发布  |  软件工程 计算机科学与技术","【岗位职责】1、深入分布式平台架构，发现并解决系统的重大故障及性能瓶颈，打造一流的产品平台；2、熟悉numpy等科学计算库，熟悉基本的图像处理（如：PIL库）3、熟悉（机器）深度学习的基本原理4 、有TensorFlow框架使用经验者优先5、完成数据统计与分析的工作。职位要求：1、熟悉Python语言及基于Python的Web服务器端开发技术；2、了解Django等至少一种主流PythonWeb服务器端系统框架；3、理解Linux shell常用设计模式，具有服务器端系统开发调试和性能调优经验；4、熟悉HTTP、Ajax等相关网络协议和主流前后端通信规范；5、熟悉XML、JSON、SOAP协议；6、对Nginx、Apache、Tomcat、MySQL等有一定的使用及维护经验；7、强烈的责任心，良好的沟通表达能力和团队合作"
37,"北京  |  无工作经验  |  本科  |  招1人  |  11-01发布","岗位职责：1、进行电子教室后台部分研发2、进行云端运维系统的研发3、与终端团队配合进行产品联调4、编写维护自动化脚本5、解决北京测试测试，深圳测试，联想测试发现的问题职位要求：1、精通python开发；2、熟悉linux shell脚本开发；3、熟悉nodejs开发；4、熟悉mysql，mongodb常用命令；5、了解c，c++开发过程；6、团队协调能力强；7、本科及以上学历；至少3年工作经验。"
38,"北京  |  5-7年经验  |  本科  |  招2人  |  11-01发布","职责描述：1.负责后台系统的设计与实现，包括：推荐、消息、存储等；2.保证后台系统7*24运营和高效应急反馈；3.配合产品和市场部门，做好产品的运营支持。任职要求：1.熟悉linux c/c++ 、php、python的一种或多种；2.熟悉网络编程，深入理解HTTP、TCP/IP等网络协议；3.深入理解数据库或NOSQL系统，有实际数据库调优或NOSQL使用经验；4.有良好的数据结构和算法基础。加分：1.工作5年依然热爱编码；2.熟悉mongo、redis、Nginx等开源项目；3.有过存储或IM系统经验；4.喜欢控制，有代码洁癖；5.有过搜索系统经验。"
39,"北京-朝阳区  |  1年经验  |  大专  |  招2人  |  11-01发布","主要工作职责：--参与运维支撑平台的建设、自动化运维平台以及运维工具的开发工作； 岗位要求:1、熟悉Linux操作系统以及网络原理、HTTP协议以及常用RPC协议;2、精通python编程，至少熟悉1种常见WEB框架tornado,flask,django等3、熟练使用vue.js 4、熟悉各种开源软件Nginx/MySQL/Redis/Kafka等;"
40,"北京-朝阳区  |  无工作经验  |  招6人  |  11-01发布","（能力不足，但有Python开发意向者，可放宽要求提供实习岗位）1.本科以上学历，有良好的数学基础和逻辑建模能力；2.深入理解诸如回归、分类、聚类等机器学习领域的基本概念；3.熟悉推荐引擎、自然语言处理、语音识别、图像识别、人脸识别、神经网络等人工智能领域的相关算法；4.熟练掌握Python语言；5.熟练使用Numpy、Scipy、Matplotlib、Pandas等数值计算库；6.熟练使用sklearn、nlp、opencv等机器学习工具包；7.具有一定的深度学习研发背景，熟悉至少一种深度学习框架，如：TensorFlow、Caffe、Theano、Keras、ConvNet、Torch等；8.在至少一个领域有深入的研究，如：深度神经网络、语义分析、模式识别、机器视觉、量化金融等；9.在强化学习领域有丰富的项目经验及算法实现能力者优先考虑；10.善于分析问题、解决问题，具备丰富的想象力、卓越的学习能力和创造性思维能力，具有良好的团队协作精神，怀有推动人工智能不断发展的理想和使命感。"
41,"北京-朝阳区  |  3-4年经验  |  大专  |  招1人  |  11-01发布","岗位职责：1、参与完成公司App, 微信小程序、WEB等各平台产品的底层匹配算法开发工作2、配合算法工程师开发基于用户画像、知识图谱相关的AI引擎；3、与团队紧密合作，保时保质的完成上级主管布置的开发任务，4、快速定位及解决开发、运行过程中的技术问题。任职要求：1、2年以上 Python语言的开发经验，大型项目经验者优先；2、熟练掌握Python语言及常用库，熟悉scrapy、pymysql、numpy、scipy扩展库的使用3、对于Python解决PDF文件的解析有相应的经验；4、良好的团队合作与沟通能力。"
42,"北京-朝阳区  |  3-4年经验  |  大专  |  招若干人  |  11-01发布  |  英语熟练","负责系统设计和业务模块设计，编写核心代码和单元测试代码任职资格：1. 1-3年以上开发经验，精通Python，有扎实的编程功底2. 熟悉SQL语言，能熟练使用mysql，了解常用的SQL性能优化3. 有持续和快速学习的习惯，有钻研精神，随时可以拥抱任何技术4. 具有较强的团队意识，高度的责任感，对工作积极严谨，勇于承担压力5. 大专学历以上，熟练的英文阅读和写作能力，以及一定的口语能力。6. 需机械自动化/通信专业或计算机科学/网络技术等相关专业。7. 有仪器仪表软硬件集成，开发经验者优先。8. 有自动化脚本开发能力者优先。"
